Date,Index,D12,Rfree,fed_funds,VRP,ICS_ALL,pd,ff12_D,vrp3,sent12_D,ersf,ersf_t1,ersf_D,sent_x_ersf_D
2010-05-31,1089.41,21.992666666666665,0.00013333333333333334,0.2,-4.9741,73.6,49.535148079662925,0.020000000000000018,13.116500000000038,4.8999999999999915,-8.056485106566258,-5.229667832435289,-9.675487849593015,-47.40989046300569
2010-06-30,1030.71,22.037,9.999999999999999e-05,0.18,59.3896,76.0,46.77179289376957,-0.03,27.371566666666705,5.200000000000003,-5.229667832435289,7.043471630666651,2.8268172741309696,14.69944982548105
2010-07-31,1101.6,22.142333333333333,0.00013333333333333334,0.18,14.9573,67.8,49.75085432128502,0.01999999999999999,23.124266666666703,1.7999999999999972,7.043471630666651,-4.589951686435893,12.27313946310194,22.091651033583457
2010-08-31,1049.33,22.247666666666667,0.00013333333333333334,0.19,29.0573,68.9,47.16584510735208,0.03,34.46806666666671,3.200000000000003,-4.589951686435893,8.920128439099246,-11.633423317102544,-37.22695461472817
2010-09-30,1141.2,22.353,0.000125,0.19,28.2687,68.2,51.05354985907932,0.04000000000000001,24.09443333333337,-5.299999999999997,8.920128439099246,3.8389032986719522,13.51008012553514,-71.6034246653362
2010-10-31,1183.26,22.478333333333335,0.00010833333333333333,0.19,22.6484,67.7,52.64002372655149,0.07,26.658133333333367,-2.8999999999999915,3.8389032986719522,-0.08150432796773786,-5.081225140427294,14.735552907239109
2010-11-30,1180.55,22.60366666666667,0.00011666666666666668,0.19,26.8168,71.6,52.228252053501635,0.07,25.911300000000036,4.199999999999989,-0.08150432796773786,6.678781288382547,-3.92040762663969,-16.465712031886653
2010-12-31,1257.64,22.729,0.00011666666666666668,0.18,18.6383,74.5,55.331954771437374,0.06,22.701166666666705,2.0,6.678781288382547,2.404215700306369,6.760285616350285,13.52057123270057
2011-01-31,1286.12,22.963,0.000125,0.17,24.2112,74.2,56.008361276836645,0.06000000000000001,23.22210000000004,-0.20000000000000284,2.404215700306369,3.3351284224385602,-4.274565588076178,0.8549131176152477
2011-02-28,1327.22,23.197000000000003,0.00010833333333333333,0.16,18.6508,77.5,57.2151571323878,0.03,20.500100000000042,3.9000000000000057,3.3351284224385602,0.03405476610256448,0.9309127221321911,3.6305596163155505
2011-03-31,1325.83,23.431000000000004,8.333333333333333e-05,0.14,-1.7329,67.5,56.584439417865205,-0.01999999999999999,13.70970000000004,-6.099999999999994,0.03405476610256448,2.993714851158233,-3.301073656335996,20.136549303649556
2011-04-30,1363.61,23.73433333333334,4.9999999999999996e-05,0.1,7.4707,69.8,57.45305675322667,-0.1,8.129533333333374,-2.4000000000000057,2.993714851158233,-1.206526409880943,2.9596600850556687,-7.103184204133622
2011-05-31,1345.2,24.03766666666667,3.3333333333333335e-05,0.09,5.4421,74.3,55.96217048243728,-0.11000000000000001,3.7266333333333734,0.7000000000000028,-1.206526409880943,-1.6782949251660104,-4.200241261039176,-2.940168882727435
2011-06-30,1320.64,24.341,3.3333333333333335e-05,0.09,5.364,71.5,54.255782424715505,-0.09,6.092266666666707,-4.5,-1.6782949251660104,-1.995416717147245,-0.47176851528506747,2.1229583187828034
2011-07-31,1292.28,24.621000000000002,3.3333333333333335e-05,0.07,36.5825,63.7,52.486901425612274,-0.10999999999999999,15.796200000000042,-4.099999999999994,-1.995416717147245,-5.520201091610678,-0.3171217919812346,1.30019934712306
2011-08-31,1218.89,24.901,1.6666666666666667e-05,0.1,38.6148,55.8,48.949439781534885,-0.09,26.85376666666671,-13.100000000000009,-5.520201091610678,-7.004876629556398,-3.524784374463433,46.174675305471006
2011-09-30,1131.42,25.181,8.333333333333334e-06,0.08,77.2966,59.5,44.93149596918312,-0.11,50.83130000000005,-8.700000000000003,-7.004876629556398,10.959158864278699,-1.4846755379457193,12.916677180127762
2011-10-31,1253.3,25.595666666666666,1.6666666666666667e-05,0.07,19.8831,60.8,48.965319650461666,-0.12,45.26483333333337,-6.900000000000006,10.959158864278699,-0.3337522052891333,17.964035493835098,-123.95184490746227
2011-11-30,1246.96,26.010333333333328,8.333333333333334e-06,0.08,2.5655,63.7,47.94094654688522,-0.11,33.24840000000004,-7.8999999999999915,-0.3337522052891333,1.0290379803682466,-11.292911069567833,89.21399744958578
2011-12-31,1257.6,26.424999999999997,8.333333333333334e-06,0.07,22.1362,69.9,47.59129612109745,-0.10999999999999999,14.861600000000044,-4.599999999999994,1.0290379803682466,4.532953332626543,1.3627901856573799,-6.26883485402394
2012-01-31,1312.41,26.734333333333332,2.4999999999999998e-05,0.08,17.5015,75.0,49.09080707704201,-0.09000000000000001,14.067733333333377,0.7999999999999972,4.532953332626543,4.223162589350039,3.5039153522582964,2.803132281806627
2012-02-29,1365.68,27.043666666666667,7.5e-05,0.1,19.9323,75.3,50.49906940626887,-0.06,19.85666666666671,-2.200000000000003,4.223162589350039,3.293478071973916,-0.3097907432765039,0.6815396352083095
2012-03-31,1408.47,27.352999999999998,6.666666666666667e-05,0.13,11.2778,76.2,51.49234087668629,-0.010000000000000009,16.237200000000044,8.700000000000003,3.293478071973916,-0.5926729161588264,-0.9296845173761232,-8.088255301172275
2012-04-30,1397.91,27.675333333333334,6.666666666666667e-05,0.14,11.1367,76.4,50.511044732975215,0.04000000000000001,14.115600000000043,6.6000000000000085,-0.5926729161588264,-6.105665197409792,-3.8861509881327425,-25.648596521676133
2012-05-31,1310.33,27.997666666666667,7.5e-05,0.16,30.2724,79.3,46.80140011667638,0.07,17.562300000000047,5.0,-6.105665197409792,4.1280994291514395,-5.512992281250965,-27.564961406254827
2012-06-30,1362.16,28.32,7.5e-05,0.16,4.5996,73.2,48.09887005649718,0.07,15.33623333333338,1.7000000000000028,4.1280994291514395,1.4272746552860298,10.233764626561232,17.397399865154124
2012-07-31,1379.32,28.743333333333332,8.333333333333333e-05,0.16,13.6199,72.3,47.98747535660443,0.09,16.163966666666713,8.599999999999994,1.4272746552860298,2.144216876592982,-2.70082477386541,-23.22709305524251
2012-08-31,1406.58,29.166666666666664,8.333333333333333e-05,0.13,15.3676,74.3,48.2256,0.03,11.195700000000045,18.5,2.144216876592982,2.5897493802935894,0.7169422213069521,13.263431094178614
2012-09-30,1440.67,29.59,9.166666666666667e-05,0.14,14.0605,78.3,48.687732342007436,0.06000000000000001,14.349333333333377,18.799999999999997,2.5897493802935894,-1.8129201226819873,0.4455325037006075,8.376011069571419
